Individual,WhatMode,Airport,DistSYR,DistALB,DistNYC,DistEWR,SafteyPersonal,SafteyTrainBus,SafteyCarpool,SafteyTaxi,SafteySharedTaxi,SafteyCS,SafteySCS,PrivacyPersonal,PrivacyTrainBus,PrivacyCarpool,PrivacyTaxi,PrivacySharedTaxi,PrivacyCS,PrivacySCS,ConviniencePersonal,ConvinienceTrainBus,ConvinienceCarpool,ConvinienceTaxi,ConvinienceSharedTaxi,ConvinienceCS,ConvinienceSCS,TimePersonal,TimeTrainBus,TimeCarpool,TimeTaxi,TimeSharedTaxi,TimeCS,TimeSCS,flightsYear,daysBreturn,luggage,ownVehicle,incomeB,familySize,ageB,shuttleMaxPersonsB,payUticaSYR,payUticaALB,CostPersonal,CostTrainBus,CostCarpool,CostTaxi,CostSharedTaxi,CostCS,CostSCS
1,Carpool,ALB,50,77,277,245,10,9,9,8,8,8,8,10,8,9,8,8,8,8,10,8,10,8,8,9,8,1:00:00,1:30:00,1:00:00,1:15:00,1:20:00,1:15:00,1:15:00,1,3,1,Yes,"< $10,000",4,18-24,10 passengers,10,10,,,,,,,
2,Carpool,SYR,40,80,300,350,8,8,7,7,7,7,7,10,5,8,7,5,7,5,10,6,8,4,4,6,6,0:45:00,1:00:00,0:45:00,0:45:00,0:45:00,0:45:00,0:45:00,0,7,2,Yes,"$10,000 - $38,000",3,18-24,15 passengers,15,10,15,10,0,30,15,40,20
3,Carpool,ALB,200,66,113,102,10,6,5,7,5,7,7,10,5,7,5,5,6,6,10,4,8,5,4,9,8,0:45:00,1:00:00,0:45:00,0:45:00,0:45:00,0:45:00,0:45:00,6,7,1,Yes,"< $10,000",4,18-24,15 passengers,15,30,15,35,10,40,40,40,20
4,Personal,ALB,50,75,250,250,9,9,9,7,7,8,7,10,7,9,7,7,5,4,9,10,10,5,5,8,7,1:30:00,2:00:00,1:30:00,1:30:00,1:30:00,1:30:00,1:30:00,1,7,2,Yes,"$38,000 - $92,000",4,18-24,5 passengers,30,45,30,60,0,50,40,100,40
5,Personal,ALB,56,92,251,248,9,6,8,5,6,5,7,9,6,6,5,6,6,5,9,5,7,6,6,7,7,1:27:00,2:40:00,1:30:00,2:00:00,2:00:00,1:45:00,2:00:00,0,,2,Yes,"< $10,000",4,18-24,10 passengers,30,40,40 dollars,80 dollar train ticket?,30 dollars,100+,40 dollars,100+,40 dollars
6,Carpool,NYC,210,116,53,59,10,7,9,5,6,5,5,10,6,9,5,5,5,5,9,7,10,7,7,7,7,2:00:00,3:00:00,2:00:00,2:30:00,2:30:00,2:30:00,2:30:00,2,6,2,Yes,"< $10,000",1,18-24,5 passengers,35,35,35 dollars approximately,50 dollars approximately,No amount,50 dollars,50 dollars,60 dollars,40 dollars
7,Carpool,NYC,300,170,50,70,9,8,8,6,6,7,7,10,1,8,4,4,6,6,10,7,7,1,1,8,6,1:00:00,1:30:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,2,7,2,No,"$10,000 - $38,000",4,18-24,20+ passengers,5,7,20,12.5,20,20,20,25,25
8,Personal,NYC,150,70,70,70,9,9,9,7,7,7,7,10,6,8,6,6,7,7,10,4,8,5,5,6,6,1:30:00,3:00:00,1:30:00,2:00:00,2:00:00,2:00:00,2:00:00,4,7,2,Yes,"< $10,000",5,18-24,20+ passengers,20,20,25,40,25,40,100,100,100
9,Carpool,NYC,274,166,5.9,34.7,7,6,8,5,5,7,6,10,4,7,7,6,8,6,9,7,7,7,5,8,6,0:15:00,0:25:00,0:15:00,0:40:00,0:40:00,0:20:00,0:25:00,2,8,1,No,"< $10,000",5,18-24,20 pasengers,25,35,,2.75,3,10,7,12,8
10,TrainBus,SYR,58,94,258,244,5,8,5,6,6,6,5,10,6,7,6,4,6,4,6,6,6,7,7,8,7,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,0,3,1,Yes,"$10,000 - $38,000",5,18-24,5 passengers,60,150,30,50,15,80,60,80,70
11,Carpool,SYR,43,78,185,174,8,8,8,8,8,8,8,10,1,2,2,1,6,1,10,10,10,8,8,9,9,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,0,0,1,Yes,"< $10,000",3,18-24,20 pasengers,30,50,40,30,15,40,20,40,40
12,Personal,ALB,160,20,165,155,8,8,8,6,7,7,8,10,8,4,3,3,3,3,10,10,10,10,9,6,10,0:20:00,0:40:00,0:20:00,0:40:00,0:40:00,0:25:00,0:25:00,6,5,1,Yes,"< $10,000",4,18-24,20+ passengers,40,50,10,20,5,25,6,30,0
13,Carpool,ALB,187,54,123,122,6,8,4,3,3,3,3,9,3,3,3,1,3,1,10,7,8,5,2,9,5,1:19:59,3:28:00,1:17:54,2:03:00,2:03:00,1:52:00,1:52:00,1,10,1,Yes,"< $10,000",3,18-24,20+ passengers,15,15,25,43,3,25,12.5,36,18
14,Personal,SYR,57.8,93.8,257,246,10,8,9,8,9,9,9,8,7,8,8,9,9,9,9,9,8,5,5,10,7,0:57:00,1:00:00,0:57:00,1:15:00,1:15:00,1:10:00,1:30:00,2,7,2,Yes,"< $10,000",4,18-24,10 passengers,100,100,80 dollars,200 dollars,80 dollars,250 dollars,250 dollars,200 dollars,150 dollars
15,Personal,SYR,60,100,200,200,10,10,10,8,8,10,10,10,1,2,5,1,2,2,10,1,4,5,4,3,5,1:00:00,2:00:00,1:30:00,1:45:00,2:00:00,2:00:00,2:00:00,0,0,0,Yes,"< $10,000",1,39-50,20+ passengers,10,15,10,50,20,100,100,190,95
16,Carpool,NYC,45,77,188,177,9,9,9,9,8,9,8,10,6,8,7,7,7,6,8,8,9,8,8,8,8,4:00:00,6:00:00,4:30:00,4:00:00,4:30:00,4:00:00,4:30:00,3,25,2,No,"< $10,000",4,18-24,15 passengers,30,40,medium,medium,low,very high,very high,very high,very high
17,Personal,SYR,70,80,241,228,8,10,5,8,8,7,7,10,3,3,6,3,6,3,5,7,8,7,7,7,7,1:00:00,1:30:00,1:10:00,1:10:00,1:30:00,1:10:00,1:30:00,0,0,1,Yes,"< $10,000",2,18-24,20+ passengers,40,40,70,50,0,40,20,50,30
18,Carpool,SYR,56,92,255,242,7,8,7,6,6,6,6,10,2,2,2,2,2,2,10,7,8,8,7,9,8,1:00:00,1:30:00,1:00:00,1:15:00,1:30:00,1:15:00,1:30:00,0,,2,Yes,"< $10,000",4,18-24,15 passengers,30,40,20,20,40,50,30,50,40
19,Personal,SYR,50,98,254,248,7,6,8,8,8,7,7,4,6,5,6,6,6,5,9,2,4,3,3,5,3,1:15:00,2:30:00,2:00:00,2:00:00,2:00:00,2:00:00,2:30:00,2,2,2,Yes,"$10,000 - $38,000",1,25-31,5 passengers,30,50,25,15,15,25,25,35,15
20,Carpool,NYC,56,94,251,245,8,7,7,4,4,6,6,10,5,5,5,5,5,5,10,2,2,2,1,2,3,0:30:00,0:45:00,0:45:00,0:45:00,0:45:00,0:45:00,0:45:00,7,8,1,Yes,"< $10,000",4,18-24,5 passengers,5,5,10,15,5,15,15,25,25
21,Personal,ALB,120,30,150,145,10,10,8,7,7,7,7,10,10,4,4,4,4,4,10,8,4,9,6,4,4,0:30:00,1:00:00,0:45:00,0:30:00,0:45:00,0:30:00,0:45:00,0,8,2,Yes,"< $10,000",5,18-24,20+ passengers,15,10,10,3,5,30,15,45,23
22,Taxi,ALB,150,10,175,175,10,10,5,8,5,8,8,10,1,5,1,1,1,1,10,1,6,10,10,10,10,0:10:00,0:30:00,0:10:00,0:10:00,0:10:00,0:10:00,0:10:00,9,5,2,Yes,"< $10,000",5,18-24,20+ passengers,0,10,10,15,0,15,15,20,20
23,Personal,SYR,80,200,314,330,7,6,6,5,4,5,5,10,5,5,5,5,4,5,10,5,5,5,5,5,5,0:30:00,1:00:00,30:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1,2,1,Yes,"< $10,000",3,<18,5 passengers,0,0,75,25,0,50,50,50,50
24,Personal,SYR,50,100,255,245,10,8,8,7,8,7,8,10,5,7,7,7,7,7,10,5,5,3,3,8,8,0:40:00,1:00:00,0:40:00,0:45:00,0:45:00,0:40:00,0:40:00,2,7,1,Yes,"$10,000 - $38,000",4,18-24,10 passengers,25,50,6,21,3,67,67,178,178
25,Personal,ALB,150,13.5,160,160,9,7,7,6,6,6,6,9,2,7,2,2,2,2,10,6,7,6,5,7,6,0:10:00,0:30:00,0:15:00,0:15:00,0:20:00,0:10:00,0:20:00,0,10,2,Yes,"< $10,000",5,18-24,10 passengers,10,10,1.62,n/a,1.62,n/a,n/a,n/a,n/a
26,Taxi,SYR,50,50,400,,7,8,6,5,4,5,5,6,5,5,6,4,5,5,10,6,8,5,5,5,5,1:00:00,1:30:00,1:00:00,1:30:00,1:30:00,1:30:00,1:30:00,8,10,1,Yes,"< $10,000",3,<18,20+ passengers,25,25,50,50,5,80,80,60,30
27,Carpool,NYC,56,92,255,250,9,8,9,7,6,7,6,10,7,9,6,5,6,5,10,6,9,7,6,7,6,4:30:00,5:30:00,4:30:00,5:00:00,5:00:00,5:00:00,5:00:00,,7,2,Yes,"< $10,000",6,18-24,10 passengers,20,27.5,25,40,0,100,50,45,25
28,Carpool,ALB,12,97,251,245,10,10,8,7,7,9,9,10,5,9,5,4,9,7,10,5,9,7,9,6,9,1:00:00,3:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1,7,2,Yes,"$92,000 - $192,000",4,18-24,20 pasengers,50,50,50,20,5,40,20,50,25
29,Carpool,SYR,53,100,246,,10,10,9,9,8,8,10,10,1,8,8,6,4,8,10,1,7,6,4,10,5,0:30:00,1:30:00,0:30:00,0:45:00,0:50:00,0:30:00,0:40:00,5,3,1,Yes,"< $10,000",4,18-24,15 passengers,7,7,10,15,5,20,8,12,6
30,Personal,NYC,45,77,188,177,9,4,8,4,4,3,3,10,4,5,4,3,2,2,10,7,8,8,6,9,9,0:45:00,1:00:00,0:45:00,0:45:00,0:45:00,0:45:00,0:45:00,1,14,2,No,"< $10,000",5,18-24,10 passengers,10,10,20,2.75,0,20,10,20,10
31,Personal,SYR,97,144,307,297,8,9,7,9,8,6,6,10,8,9,8,7,7,6,10,9,7,9,8,8,7,1:30:00,2:00:00,1:45:00,2:00:00,2:00:00,1:30:00,1:45:00,0,7,1,Yes,"< $10,000",5,18-24,20 pasengers,10,15,10,80,10,90,100,260,260
32,Personal,ALB,150,45,200,200,10,8,8,5,5,6,6,10,8,8,4,4,4,4,10,10,10,5,5,8,8,0:40:00,0:00:00,0:40:00,0:40:00,0:40:00,0:40:00,0:40:00,0,0,0,No,"< $10,000",4,18-24,10 passengers,30,30,15,40,15,100,50,50,25
33,Carpool,NYC,200,150,125,110,8,5,9,7,7,7,7,10,1,10,1,1,1,1,10,1,10,1,1,7,7,0:20:00,2:00:00,0:20:00,0:20:00,0:20:00,0:20:00,0:20:00,2,14,1,Yes,"< $10,000",4,18-24,10 passengers,5,5,2,10,2,10,10,15,15
34,Carpool,NYC,54,87,230.5,244.5,10,7,9,5,7,6,7,10,1,3,1,2,2,2,9,8,10,7,8,7,8,4:10:06,12:25:45,5:25:16,4:23:35,4:36:05,3:54:06,4:24:46,8,14,2,No,"< $10,000",5,18-24,5 passengers,24,20,20,15,11,45,25,52,13
35,Personal,SYR,60,170,340,315,5,8,4,4,4,4,4,10,4,6,4,4,4,4,10,6,6,5,5,5,5,1:30:00,1:30:00,2:00:00,1:30:00,1:30:00,1:30:00,1:30:00,10,10,1,Yes,"< $10,000",4,18-24,10 passengers,30,40,30,20,0,150,75,100,50
