"Individual","Mode","Choice","DistEWR","DistSYR","DistNYC","DistALB","flightsYear","daysBreturn","luggage","ownVehicle","incomeB","familySize","ageB","shuttleMaxPersonsB","payUticaSYR","payUticaALB","Cost","Time","Convinience","Privacy","Saftey","Airport"
1,"Carpool",1,245,50,277,77,1,3,1,1,10,4,20,10,10,10,NA,10000,10,9,9,1
1,"Personal",0,245,50,277,77,1,3,1,1,10,4,20,10,10,10,NA,10000,10,10,10,1
1,"TrainBus",0,245,50,277,77,1,3,1,1,10,4,20,10,10,10,NA,13000,8,8,9,1
1,"Taxi",0,245,50,277,77,1,3,1,1,10,4,20,10,10,10,NA,11500,8,8,8,1
2,"Carpool",1,350,40,300,80,0,7,2,1,10,3,20,15,15,10,0,4500,8,8,7,3
2,"Personal",0,350,40,300,80,0,7,2,1,10,3,20,15,15,10,15,4500,10,10,8,3
2,"TrainBus",0,350,40,300,80,0,7,2,1,10,3,20,15,15,10,10,10000,6,5,8,3
2,"Taxi",0,350,40,300,80,0,7,2,1,10,3,20,15,15,10,30,4500,4,7,7,3
3,"Carpool",1,102,200,113,66,6,7,1,1,10,4,20,15,15,30,10,4500,8,7,5,1
3,"Personal",0,102,200,113,66,6,7,1,1,10,4,20,15,15,30,15,4500,10,10,10,1
3,"TrainBus",0,102,200,113,66,6,7,1,1,10,4,20,15,15,30,35,10000,4,5,6,1
3,"Taxi",0,102,200,113,66,6,7,1,1,10,4,20,15,15,30,40,4500,5,5,7,1
4,"Carpool",0,250,50,250,75,1,7,2,1,40,4,20,5,30,45,0,13000,10,9,9,1
4,"Personal",1,250,50,250,75,1,7,2,1,40,4,20,5,30,45,30,13000,9,10,9,1
4,"TrainBus",0,250,50,250,75,1,7,2,1,40,4,20,5,30,45,60,20000,10,7,9,1
4,"Taxi",0,250,50,250,75,1,7,2,1,40,4,20,5,30,45,50,13000,5,7,7,1
5,"Carpool",0,248,56,251,92,0,NA,2,1,10,4,20,10,30,40,30,13000,7,6,8,1
5,"Personal",1,248,56,251,92,0,NA,2,1,10,4,20,10,30,40,40,12700,9,9,9,1
5,"TrainBus",0,248,56,251,92,0,NA,2,1,10,4,20,10,30,40,80,24000,5,6,6,1
5,"Taxi",0,248,56,251,92,0,NA,2,1,10,4,20,10,30,40,100,20000,6,5,5,1
6,"Carpool",1,59,210,53,116,2,6,2,1,10,1,20,5,35,35,NA,20000,10,9,9,2
6,"Personal",0,59,210,53,116,2,6,2,1,10,1,20,5,35,35,35,20000,9,10,10,2
6,"TrainBus",0,59,210,53,116,2,6,2,1,10,1,20,5,35,35,50,30000,7,6,7,2
6,"Taxi",0,59,210,53,116,2,6,2,1,10,1,20,5,35,35,50,23000,7,5,5,2
7,"Carpool",1,70,300,50,170,2,7,2,0,10,4,20,50,5,7,20,10000,7,8,8,2
7,"Personal",0,70,300,50,170,2,7,2,0,10,4,20,50,5,7,20,10000,10,10,9,2
7,"TrainBus",0,70,300,50,170,2,7,2,0,10,4,20,50,5,7,12.5,13000,7,1,8,2
7,"Taxi",0,70,300,50,170,2,7,2,0,10,4,20,50,5,7,20,10000,1,4,6,2
8,"Carpool",0,70,150,70,70,4,7,2,1,10,5,20,50,20,20,25,13000,8,8,9,2
8,"Personal",1,70,150,70,70,4,7,2,1,10,5,20,50,20,20,25,13000,10,10,9,2
8,"TrainBus",0,70,150,70,70,4,7,2,1,10,5,20,50,20,20,40,30000,4,6,9,2
